ss: constant; problem: SmallChainTabular5050LeftZero; alg: TDC; perc: 0.2692307692307692; div: 28; total: 104
ss: constant; problem: SmallChainInverted5050LeftZero; alg: TDC; perc: 0.20192307692307693; div: 21; total: 104
ss: constant; problem: SmallChainDependent5050LeftZero; alg: TDC; perc: 0.20192307692307693; div: 21; total: 104
ss: constant; problem: SmallChainTabular5050; alg: TDC; perc: 0.28846153846153844; div: 30; total: 104
ss: constant; problem: SmallChainTabular5050; alg: ReghTDC; perc: 0.2692307692307692; div: 28; total: 104
ss: constant; problem: SmallChainTabular4060; alg: TDC; perc: 0.27884615384615385; div: 29; total: 104
ss: constant; problem: SmallChainTabular4060; alg: ReghTDC; perc: 0.2692307692307692; div: 28; total: 104
ss: constant; problem: SmallChainInverted5050; alg: TDC; perc: 0.20192307692307693; div: 21; total: 104
ss: constant; problem: SmallChainInverted5050; alg: ReghTDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainInverted4060; alg: TDC; perc: 0.20192307692307693; div: 21; total: 104
ss: constant; problem: SmallChainInverted4060; alg: ReghTDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainDependent5050; alg: TDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainDependent5050; alg: ReghTDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainDependent4060; alg: TDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainDependent4060; alg: ReghTDC; perc: 0.21153846153846154; div: 22; total: 104
ss: constant; problem: SmallChainRandomCluster1090; alg: TDC; perc: 0.36538461538461536; div: 38; total: 104
ss: constant; problem: SmallChainRandomCluster4060; alg: TDC; perc: 0.25961538461538464; div: 27; total: 104
ss: constant; problem: SmallChainRandomCluster5050; alg: TDC; perc: 0.2403846153846154; div: 25; total: 104
ss: constant; problem: SmallChainOuterRandomCluster1090; alg: TDC; perc: 0.34615384615384615; div: 36; total: 104
ss: constant; problem: Boyan; alg: TDC; perc: 0.15384615384615385; div: 16; total: 104
ss: constant; problem: Boyan; alg: ReghTDC; perc: 0.15384615384615385; div: 16; total: 104
ss: constant; problem: Baird; alg: TDC; perc: 0.8461538461538461; div: 88; total: 104
ss: constant; problem: Baird; alg: ReghTDC; perc: 0.7980769230769231; div: 83; total: 104
